Tournament,Stage,Match Type,Match Name,Team A,Team B,Team A Score,Team B Score,Match Result,Match Date
VCT 2025: China Stage 2,Group Stage,Week 3,Nova Esports vs All Gamers,Nova Esports,All Gamers,1,2,All Gamers won,
VCT 2025: China Stage 2,Group Stage,Week 3,TYLOO vs EDward Gaming,TYLOO,EDward Gaming,0,2,EDward Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 3,Titan Esports Club vs JDG Esports,Titan Esports Club,JDG Esports,1,2,JDG Esports won,
VCT 2025: China Stage 2,Group Stage,Week 3,Bilibili Gaming vs Trace Esports,Bilibili Gaming,Trace Esports,1,2,Trace Esports won,
VCT 2025: China Stage 2,Group Stage,Week 3,Wolves Esports vs Dragon Ranger Gaming,Wolves Esports,Dragon Ranger Gaming,2,1,Wolves Esports won,
VCT 2025: China Stage 2,Group Stage,Week 3,Xi Lai Gaming vs FunPlus Phoenix,Xi Lai Gaming,FunPlus Phoenix,2,0,Xi Lai Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 4,Nova Esports vs Xi Lai Gaming,Nova Esports,Xi Lai Gaming,0,2,Xi Lai Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 4,EDward Gaming vs JDG Esports,EDward Gaming,JDG Esports,2,1,EDward Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 4,All Gamers vs FunPlus Phoenix,All Gamers,FunPlus Phoenix,2,0,All Gamers won,
VCT 2025: China Stage 2,Group Stage,Week 4,Trace Esports vs Titan Esports Club,Trace Esports,Titan Esports Club,0,2,Titan Esports Club won,
VCT 2025: China Stage 2,Group Stage,Week 4,Nova Esports vs Wolves Esports,Nova Esports,Wolves Esports,2,1,Nova Esports won,
VCT 2025: China Stage 2,Group Stage,Week 4,Dragon Ranger Gaming vs Xi Lai Gaming,Dragon Ranger Gaming,Xi Lai Gaming,2,1,Dragon Ranger Gaming won,
VCT 2025: China Stage 2,Group Stage,Week 4,TYLOO vs JDG Esports,TYLOO,JDG Esports,2,1,TYLOO won,
VCT 2025: China Stage 2,Group Stage,Week 4,Bilibili Gaming vs EDward Gaming,Bilibili Gaming,EDward Gaming,2,0,Bilibili Gaming won,
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,LEVIATÁN vs Cloud9,LEVIATÁN,Cloud9,1,2,Cloud9 won,
VCT 2025: Americas Stage 2,Playoffs,Upper Round 1,G2 Esports vs 100 Thieves,G2 Esports,100 Thieves,2,0,G2 Esports won,
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,Sentinels vs Cloud9,Sentinels,Cloud9,2,1,Sentinels won,
VCT 2025: Americas Stage 2,Playoffs,Upper Semifinals,NRG vs G2 Esports,NRG,G2 Esports,1,2,G2 Esports won,
VCT 2025: Americas Stage 2,Playoffs,Lower Round 1,100 Thieves vs Evil Geniuses,100 Thieves,Evil Geniuses,2,0,100 Thieves won,
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,NRG vs LEVIATÁN,NRG,LEVIATÁN,2,0,NRG won,
VCT 2025: Americas Stage 2,Playoffs,Lower Round 2,Cloud9 vs 100 Thieves,Cloud9,100 Thieves,2,0,Cloud9 won,
VCT 2025: Americas Stage 2,Playoffs,Upper Final,Sentinels vs G2 Esports,Sentinels,G2 Esports,0,2,G2 Esports won,
VCT 2025: Americas Stage 2,Playoffs,Lower Round 3,NRG vs Cloud9,NRG,Cloud9,2,1,NRG won,
VCT 2025: Americas Stage 2,Playoffs,Lower Final,Sentinels vs NRG,Sentinels,NRG,1,3,NRG won,
VCT 2025: Americas Stage 2,Playoffs,Grand Final,G2 Esports vs NRG,G2 Esports,NRG,3,0,G2 Esports won,
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,FNATIC vs BBL Esports,FNATIC,BBL Esports,1,2,BBL Esports won,
VCT 2025: EMEA Stage 2,Playoffs,Upper Round 1,GIANTX vs Natus Vincere,GIANTX,Natus Vincere,2,1,GIANTX won,
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Heretics vs BBL Esports,Team Heretics,BBL Esports,0,2,BBL Esports won,
VCT 2025: EMEA Stage 2,Playoffs,Upper Semifinals,Team Liquid vs GIANTX,Team Liquid,GIANTX,2,1,Team Liquid won,
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 1,Natus Vincere vs Team Vitality,Natus Vincere,Team Vitality,2,0,Natus Vincere won,
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,GIANTX vs FNATIC,GIANTX,FNATIC,2,0,GIANTX won,
VCT 2025: EMEA Stage 2,Playoffs,Lower Round 2,Team Heretics vs Natus Vincere,Team Heretics,Natus Vincere,0,2,Natus Vincere won,
VCT 2025: EMEA Stage 2,Playoffs,Upper Final,BBL Esports vs Team Liquid,BBL Esports,Team Liquid,1,2,Team Liquid won,
VCT 2025: EMEA Stage 2,Playoffs,Lower Final,BBL Esports vs GIANTX,BBL Esports,GIANTX,0,3,GIANTX won,
VCT 2025: EMEA Stage 2,Playoffs,Grand Final,Team Liquid vs GIANTX,Team Liquid,GIANTX,3,0,Team Liquid won,
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,TALON vs Nongshim RedForce,TALON,Nongshim RedForce,2,0,TALON won,
VCT 2025: Pacific Stage 2,Playoffs,Upper Round 1,Rex Regum Qeon vs T1,Rex Regum Qeon,T1,1,2,T1 won,
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,DRX vs TALON,DRX,TALON,1,2,TALON won,
VCT 2025: Pacific Stage 2,Playoffs,Upper Semifinals,Paper Rex vs T1,Paper Rex,T1,2,0,Paper Rex won,
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 1,Nongshim RedForce vs DetonatioN FocusMe,Nongshim RedForce,DetonatioN FocusMe,2,0,Nongshim RedForce won,
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,T1 vs Nongshim RedForce,T1,Nongshim RedForce,2,0,T1 won,
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 2,DRX vs Rex Regum Qeon,DRX,Rex Regum Qeon,0,2,Rex Regum Qeon won,
VCT 2025: Pacific Stage 2,Playoffs,Lower Round 3,T1 vs Rex Regum Qeon,T1,Rex Regum Qeon,1,2,Rex Regum Qeon won,
VCT 2025: Pacific Stage 2,Playoffs,Lower Final,TALON vs Rex Regum Qeon,TALON,Rex Regum Qeon,2,3,Rex Regum Qeon won,
VCT 2025: Pacific Stage 2,Playoffs,Grand Final,Paper Rex vs Rex Regum Qeon,Paper Rex,Rex Regum Qeon,3,1,Paper Rex won,
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,All Gamers vs TYLOO,All Gamers,TYLOO,0,2,TYLOO won,
VCT 2025: China Stage 2,Playoffs,Upper Quarterfinals,EDward Gaming vs Dragon Ranger Gaming,EDward Gaming,Dragon Ranger Gaming,0,2,Dragon Ranger Gaming won,
VCT 2025: China Stage 2,Playoffs,Lower Round 1,All Gamers vs FunPlus Phoenix,All Gamers,FunPlus Phoenix,2,1,All Gamers won,
VCT 2025: China Stage 2,Playoffs,Lower Round 1,EDward Gaming vs Trace Esports,EDward Gaming,Trace Esports,2,1,EDward Gaming won,
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Bilibili Gaming vs TYLOO,Bilibili Gaming,TYLOO,2,1,Bilibili Gaming won,
VCT 2025: China Stage 2,Playoffs,Upper Semifinals,Xi Lai Gaming vs Dragon Ranger Gaming,Xi Lai Gaming,Dragon Ranger Gaming,1,2,Dragon Ranger Gaming won,
VCT 2025: China Stage 2,Playoffs,Lower Round 2,Xi Lai Gaming vs All Gamers,Xi Lai Gaming,All Gamers,2,1,Xi Lai Gaming won,
VCT 2025: China Stage 2,Playoffs,Upper Final,Dragon Ranger Gaming vs Bilibili Gaming,Dragon Ranger Gaming,Bilibili Gaming,2,1,Dragon Ranger Gaming won,
VCT 2025: China Stage 2,Playoffs,Lower Round 3,EDward Gaming vs Xi Lai Gaming,EDward Gaming,Xi Lai Gaming,2,0,EDward Gaming won,
VCT 2025: China Stage 2,Playoffs,Lower Final,Bilibili Gaming vs EDward Gaming,Bilibili Gaming,EDward Gaming,3,1,Bilibili Gaming won,
VCT 2025: China Stage 2,Playoffs,Grand Final,Dragon Ranger Gaming vs Bilibili Gaming,Dragon Ranger Gaming,Bilibili Gaming,1,3,Bilibili Gaming won,
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Team Heretics vs Paper Rex,Team Heretics,Paper Rex,0,2,Paper Rex won,
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Bilibili Gaming vs Team Liquid,Bilibili Gaming,Team Liquid,2,1,Bilibili Gaming won,
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Sentinels vs Wolves Esports,Sentinels,Wolves Esports,2,0,Sentinels won,
Valorant Masters Toronto 2025,Swiss Stage,Round 1,Gen.G vs MIBR,Gen.G,MIBR,2,0,Gen.G won,
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Bilibili Gaming vs Sentinels,Bilibili Gaming,Sentinels,1,2,Sentinels won,
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (1-0),Paper Rex vs Gen.G,Paper Rex,Gen.G,0,2,Gen.G won,
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Heretics vs Wolves Esports,Team Heretics,Wolves Esports,0,2,Wolves Esports won,
Valorant Masters Toronto 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs MIBR,Team Liquid,MIBR,2,0,Team Liquid won,
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Bilibili Gaming vs Wolves Esports,Bilibili Gaming,Wolves Esports,0,2,Wolves Esports won,
Valorant Masters Toronto 2025,Swiss Stage,Round 3 (1-1),Paper Rex vs Team Liquid,Paper Rex,Team Liquid,2,1,Paper Rex won,
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,EDward Gaming vs Team Liquid,EDward Gaming,Team Liquid,2,0,EDward Gaming won,
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,DRX vs Sentinels,DRX,Sentinels,2,0,DRX won,
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,Team Vitality vs T1,Team Vitality,T1,2,0,Team Vitality won,
Valorant Masters Bangkok 2025,Swiss Stage,Round 1,G2 Esports vs Trace Esports,G2 Esports,Trace Esports,2,0,G2 Esports won,
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),DRX vs Team Vitality,DRX,Team Vitality,1,2,Team Vitality won,
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (1-0),EDward Gaming vs G2 Esports,EDward Gaming,G2 Esports,2,1,EDward Gaming won,
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),T1 vs Trace Esports,T1,Trace Esports,2,0,T1 won,
Valorant Masters Bangkok 2025,Swiss Stage,Round 2 (0-1),Team Liquid vs Sentinels,Team Liquid,Sentinels,2,1,Team Liquid won,
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,T1 vs DRX,T1,DRX,2,0,T1 won,
Valorant Masters Bangkok 2025,Swiss Stage,Round 3,G2 Esports vs Team Liquid,G2 Esports,Team Liquid,2,0,G2 Esports won,
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,G2 Esports vs Paper Rex,G2 Esports,Paper Rex,0,2,Paper Rex won,
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Xi Lai Gaming vs Sentinels,Xi Lai Gaming,Sentinels,0,2,Sentinels won,
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,Rex Regum Qeon vs Wolves Esports,Rex Regum Qeon,Wolves Esports,0,2,Wolves Esports won,
Valorant Masters Toronto 2025,Playoffs,Upper Quarterfinals,FNATIC vs Gen.G,FNATIC,Gen.G,1,2,Gen.G won,
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Xi Lai Gaming vs G2 Esports,Xi Lai Gaming,G2 Esports,0,2,G2 Esports won,
Valorant Masters Toronto 2025,Playoffs,Lower Round 1,Rex Regum Qeon vs FNATIC,Rex Regum Qeon,FNATIC,1,2,FNATIC won,
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Wolves Esports vs Gen.G,Wolves Esports,Gen.G,2,0,Wolves Esports won,
Valorant Masters Toronto 2025,Playoffs,Upper Semifinals,Sentinels vs Paper Rex,Sentinels,Paper Rex,0,2,Paper Rex won,
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Gen.G vs G2 Esports,Gen.G,G2 Esports,1,2,G2 Esports won,
Valorant Masters Toronto 2025,Playoffs,Lower Round 2,Sentinels vs FNATIC,Sentinels,FNATIC,1,2,FNATIC won,
Valorant Masters Toronto 2025,Playoffs,Upper Final,Paper Rex vs Wolves Esports,Paper Rex,Wolves Esports,2,0,Paper Rex won,
Valorant Masters Toronto 2025,Playoffs,Lower Round 3,G2 Esports vs FNATIC,G2 Esports,FNATIC,0,2,FNATIC won,
Valorant Masters Toronto 2025,Playoffs,Lower Final,Wolves Esports vs FNATIC,Wolves Esports,FNATIC,1,3,FNATIC won,
Valorant Masters Toronto 2025,Playoffs,Grand Final,Paper Rex vs FNATIC,Paper Rex,FNATIC,3,1,Paper Rex won,
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,EDward Gaming vs T1,EDward Gaming,T1,2,1,EDward Gaming won,
Valorant Masters Bangkok 2025,Playoffs,Upper Semifinals,Team Vitality vs G2 Esports,Team Vitality,G2 Esports,0,2,G2 Esports won,
Valorant Masters Bangkok 2025,Playoffs,Upper Final,EDward Gaming vs G2 Esports,EDward Gaming,G2 Esports,0,2,G2 Esports won,
Valorant Masters Bangkok 2025,Playoffs,Lower Round 1,T1 vs Team Vitality,T1,Team Vitality,2,1,T1 won,
Valorant Masters Bangkok 2025,Playoffs,Lower Final,EDward Gaming vs T1,EDward Gaming,T1,1,3,T1 won,
Valorant Masters Bangkok 2025,Playoffs,Grand Final,G2 Esports vs T1,G2 Esports,T1,2,3,T1 won,
Valorant Champions 2025,Group Stage,Opening (A),Paper Rex vs Xi Lai Gaming,Paper Rex,Xi Lai Gaming,2,0,Paper Rex won,
Valorant Champions 2025,Group Stage,Opening (A),GIANTX vs Sentinels,GIANTX,Sentinels,2,1,GIANTX won,
Valorant Champions 2025,Group Stage,Opening (C),NRG vs EDward Gaming,NRG,EDward Gaming,2,0,NRG won,
Valorant Champions 2025,Group Stage,Opening (C),Team Liquid vs DRX,Team Liquid,DRX,0,2,DRX won,
Valorant Champions 2025,Group Stage,Opening (D),Dragon Ranger Gaming vs T1,Dragon Ranger Gaming,T1,0,2,T1 won,
Valorant Champions 2025,Group Stage,Opening (D),G2 Esports vs Team Heretics,G2 Esports,Team Heretics,0,2,Team Heretics won,
Valorant Champions 2025,Group Stage,Opening (B),Bilibili Gaming vs MIBR,Bilibili Gaming,MIBR,0,2,MIBR won,
Valorant Champions 2025,Group Stage,Opening (B),Rex Regum Qeon vs FNATIC,Rex Regum Qeon,FNATIC,0,2,FNATIC won,
Valorant Champions 2025,Group Stage,Winner's (A),Paper Rex vs GIANTX,Paper Rex,GIANTX,2,1,Paper Rex won,
Valorant Champions 2025,Group Stage,Winner's (C),DRX vs NRG,DRX,NRG,1,2,NRG won,
Valorant Champions 2025,Group Stage,Winner's (D),Team Heretics vs T1,Team Heretics,T1,2,0,Team Heretics won,
Valorant Champions 2025,Group Stage,Winner's (B),MIBR vs FNATIC,MIBR,FNATIC,1,2,FNATIC won,
Valorant Champions 2025,Group Stage,Elimination (C),Team Liquid vs EDward Gaming,Team Liquid,EDward Gaming,2,1,Team Liquid won,
Valorant Champions 2025,Group Stage,Elimination (A),Xi Lai Gaming vs Sentinels,Xi Lai Gaming,Sentinels,2,1,Xi Lai Gaming won,
Valorant Champions 2025,Group Stage,Elimination (B),Bilibili Gaming vs Rex Regum Qeon,Bilibili Gaming,Rex Regum Qeon,1,2,Rex Regum Qeon won,
Valorant Champions 2025,Group Stage,Elimination (D),G2 Esports vs Dragon Ranger Gaming,G2 Esports,Dragon Ranger Gaming,2,0,G2 Esports won,
Valorant Champions 2025,Group Stage,Decider (C),DRX vs Team Liquid,DRX,Team Liquid,2,0,DRX won,
Valorant Champions 2025,Group Stage,Decider (A),GIANTX vs Xi Lai Gaming,GIANTX,Xi Lai Gaming,2,0,GIANTX won,
Valorant Champions 2025,Group Stage,Decider (D),T1 vs G2 Esports,T1,G2 Esports,0,2,G2 Esports won,
Valorant Champions 2025,Group Stage,Decider (B),MIBR vs Rex Regum Qeon,MIBR,Rex Regum Qeon,2,0,MIBR won,
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Paper Rex vs G2 Esports,Paper Rex,G2 Esports,2,1,Paper Rex won,
Valorant Champions 2025,Playoffs,Upper Quarterfinals,FNATIC vs DRX,FNATIC,DRX,2,1,FNATIC won,
Valorant Champions 2025,Playoffs,Upper Quarterfinals,Team Heretics vs MIBR,Team Heretics,MIBR,0,2,MIBR won,
Valorant Champions 2025,Playoffs,Upper Quarterfinals,NRG vs GIANTX,NRG,GIANTX,2,0,NRG won,
Valorant Champions 2025,Playoffs,Lower Round 1,DRX vs G2 Esports,DRX,G2 Esports,2,1,DRX won,
Valorant Champions 2025,Playoffs,Lower Round 1,Team Heretics vs GIANTX,Team Heretics,GIANTX,2,1,Team Heretics won,
Valorant Champions 2025,Playoffs,Upper Semifinals,FNATIC vs Paper Rex,FNATIC,Paper Rex,2,1,FNATIC won,
Valorant Champions 2025,Playoffs,Upper Semifinals,MIBR vs NRG,MIBR,NRG,1,2,NRG won,
Valorant Champions 2025,Playoffs,Lower Round 2,Paper Rex vs Team Heretics,Paper Rex,Team Heretics,2,1,Paper Rex won,
Valorant Champions 2025,Playoffs,Lower Round 2,MIBR vs DRX,MIBR,DRX,1,2,DRX won,
Valorant Champions 2025,Playoffs,Upper Final,FNATIC vs NRG,FNATIC,NRG,0,2,NRG won,
Valorant Champions 2025,Playoffs,Lower Round 3,DRX vs Paper Rex,DRX,Paper Rex,2,0,DRX won,
Valorant Champions 2025,Playoffs,Lower Final,FNATIC vs DRX,FNATIC,DRX,3,1,FNATIC won,
Valorant Champions 2025,Playoffs,Grand Final,NRG vs FNATIC,NRG,FNATIC,3,2,NRG won,
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,ENVY vs Evil Geniuses,ENVY,Evil Geniuses,2,1,ENVY won,
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,LOUD vs Cloud9,LOUD,Cloud9,0,2,Cloud9 won,
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,KRÜ Esports vs FURIA,KRÜ Esports,FURIA,1,2,FURIA won,
VCT 2026: Americas Kickoff,Main Event,Upper Round 1,100 Thieves vs LEVIATÁN,100 Thieves,LEVIATÁN,2,1,100 Thieves won,
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,NRG vs Cloud9,NRG,Cloud9,2,0,NRG won,
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,MIBR vs ENVY,MIBR,ENVY,2,0,MIBR won,
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,Sentinels vs FURIA,Sentinels,FURIA,0,2,FURIA won,
VCT 2026: Americas Kickoff,Main Event,Upper Round 2,G2 Esports vs 100 Thieves,G2 Esports,100 Thieves,2,1,G2 Esports won,
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LOUD vs 100 Thieves,LOUD,100 Thieves,1,2,100 Thieves won,
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,Evil Geniuses vs Sentinels,Evil Geniuses,Sentinels,0,2,Sentinels won,
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,KRÜ Esports vs ENVY,KRÜ Esports,ENVY,1,2,ENVY won,
VCT 2026: Americas Kickoff,Main Event,Middle Round 1,LEVIATÁN vs Cloud9,LEVIATÁN,Cloud9,0,2,Cloud9 won,
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,100 Thieves vs Sentinels,100 Thieves,Sentinels,2,0,100 Thieves won,
VCT 2026: Americas Kickoff,Main Event,Middle Round 2,ENVY vs Cloud9,ENVY,Cloud9,1,2,Cloud9 won,
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,NRG vs MIBR,NRG,MIBR,1,2,MIBR won,
VCT 2026: Americas Kickoff,Main Event,Upper Round 3,FURIA vs G2 Esports,FURIA,G2 Esports,2,1,FURIA won,
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,LOUD vs Evil Geniuses,LOUD,Evil Geniuses,0,2,Evil Geniuses won,
VCT 2026: Americas Kickoff,Main Event,Lower Round 1,KRÜ Esports vs LEVIATÁN,KRÜ Esports,LEVIATÁN,0,2,LEVIATÁN won,
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,NRG vs 100 Thieves,NRG,100 Thieves,2,0,NRG won,
VCT 2026: Americas Kickoff,Main Event,Middle Round 3,G2 Esports vs Cloud9,G2 Esports,Cloud9,2,0,G2 Esports won,
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,ENVY vs Evil Geniuses,ENVY,Evil Geniuses,0,2,Evil Geniuses won,
VCT 2026: Americas Kickoff,Main Event,Lower Round 2,Sentinels vs LEVIATÁN,Sentinels,LEVIATÁN,0,2,LEVIATÁN won,
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,100 Thieves vs Evil Geniuses,100 Thieves,Evil Geniuses,2,0,100 Thieves won,
VCT 2026: Americas Kickoff,Main Event,Lower Round 3,Cloud9 vs LEVIATÁN,Cloud9,LEVIATÁN,2,0,Cloud9 won,
VCT 2026: Americas Kickoff,Main Event,Middle Round 4,NRG vs G2 Esports,NRG,G2 Esports,0,2,G2 Esports won,
VCT 2026: Americas Kickoff,Main Event,Lower Round 4,100 Thieves vs Cloud9,100 Thieves,Cloud9,2,1,100 Thieves won,
VCT 2026: Americas Kickoff,Main Event,Upper Final,MIBR vs FURIA,MIBR,FURIA,2,3,FURIA won,
VCT 2026: Americas Kickoff,Main Event,Middle Final,MIBR vs G2 Esports,MIBR,G2 Esports,0,3,G2 Esports won,
VCT 2026: Americas Kickoff,Main Event,Lower Final,MIBR vs NRG,MIBR,NRG,2,3,NRG won,
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,Natus Vincere vs Karmine Corp,Natus Vincere,Karmine Corp,2,0,Natus Vincere won,
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,FUT Esports vs Gentle Mates,FUT Esports,Gentle Mates,0,2,Gentle Mates won,
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,PCIFIC Esports vs BBL Esports,PCIFIC Esports,BBL Esports,1,2,BBL Esports won,
VCT 2026: EMEA Kickoff,Main Event,Upper Round 1,ULF Esports vs Team Vitality,ULF Esports,Team Vitality,0,2,Team Vitality won,
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Heretics vs Natus Vincere,Team Heretics,Natus Vincere,1,2,Natus Vincere won,
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,GIANTX vs Gentle Mates,GIANTX,Gentle Mates,0,2,Gentle Mates won,
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,FNATIC vs BBL Esports,FNATIC,BBL Esports,0,2,BBL Esports won,
VCT 2026: EMEA Kickoff,Main Event,Upper Round 2,Team Liquid vs Team Vitality,Team Liquid,Team Vitality,1,2,Team Vitality won,
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,Karmine Corp vs Team Liquid,Karmine Corp,Team Liquid,1,2,Team Liquid won,
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,FUT Esports vs FNATIC,FUT Esports,FNATIC,1,2,FNATIC won,
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,PCIFIC Esports vs GIANTX,PCIFIC Esports,GIANTX,1,2,GIANTX won,
VCT 2026: EMEA Kickoff,Main Event,Middle Round 1,ULF Esports vs Team Heretics,ULF Esports,Team Heretics,0,2,Team Heretics won,
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,Natus Vincere vs Gentle Mates,Natus Vincere,Gentle Mates,0,2,Gentle Mates won,
VCT 2026: EMEA Kickoff,Main Event,Upper Round 3,BBL Esports vs Team Vitality,BBL Esports,Team Vitality,2,0,BBL Esports won,
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,Team Liquid vs FNATIC,Team Liquid,FNATIC,0,2,FNATIC won,
VCT 2026: EMEA Kickoff,Main Event,Middle Round 2,GIANTX vs Team Heretics,GIANTX,Team Heretics,2,0,GIANTX won,
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,Karmine Corp vs FUT Esports,Karmine Corp,FUT Esports,2,1,Karmine Corp won,
VCT 2026: EMEA Kickoff,Main Event,Lower Round 1,PCIFIC Esports vs ULF Esports,PCIFIC Esports,ULF Esports,0,2,ULF Esports won,
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Natus Vincere vs FNATIC,Natus Vincere,FNATIC,1,2,FNATIC won,
VCT 2026: EMEA Kickoff,Main Event,Middle Round 3,Team Vitality vs GIANTX,Team Vitality,GIANTX,2,0,Team Vitality won,
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Heretics vs Karmine Corp,Team Heretics,Karmine Corp,2,1,Team Heretics won,
VCT 2026: EMEA Kickoff,Main Event,Lower Round 2,Team Liquid vs ULF Esports,Team Liquid,ULF Esports,2,1,Team Liquid won,
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,Natus Vincere vs Team Heretics,Natus Vincere,Team Heretics,0,2,Team Heretics won,
VCT 2026: EMEA Kickoff,Main Event,Lower Round 3,GIANTX vs Team Liquid,GIANTX,Team Liquid,1,2,Team Liquid won,
VCT 2026: EMEA Kickoff,Main Event,Lower Round 4,Team Heretics vs Team Liquid,Team Heretics,Team Liquid,0,2,Team Liquid won,
VCT 2026: EMEA Kickoff,Main Event,Middle Round 4,FNATIC vs Team Vitality,FNATIC,Team Vitality,2,0,FNATIC won,
VCT 2026: EMEA Kickoff,Main Event,Upper Final,Gentle Mates vs BBL Esports,Gentle Mates,BBL Esports,2,3,BBL Esports won,
VCT 2026: EMEA Kickoff,Main Event,Lower Round 5,Team Vitality vs Team Liquid,Team Vitality,Team Liquid,1,2,Team Liquid won,
VCT 2026: EMEA Kickoff,Main Event,Middle Final,Gentle Mates vs FNATIC,Gentle Mates,FNATIC,3,2,Gentle Mates won,
VCT 2026: EMEA Kickoff,Main Event,Lower Final,FNATIC vs Team Liquid,FNATIC,Team Liquid,0,3,Team Liquid won,
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,Nongshim RedForce vs Team Secret,Nongshim RedForce,Team Secret,2,0,Nongshim RedForce won,
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,ZETA DIVISION vs FULL SENSE,ZETA DIVISION,FULL SENSE,0,2,FULL SENSE won,
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,VARREL vs Global Esports,VARREL,Global Esports,0,2,Global Esports won,
VCT 2026: Pacific Kickoff,Main Event,Upper Round 1,DetonatioN FocusMe vs Gen.G,DetonatioN FocusMe,Gen.G,2,0,DetonatioN FocusMe won,
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,T1 vs Nongshim RedForce,T1,Nongshim RedForce,1,2,Nongshim RedForce won,
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,DRX vs FULL SENSE,DRX,FULL SENSE,1,2,FULL SENSE won,
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,Paper Rex vs Global Esports,Paper Rex,Global Esports,2,1,Paper Rex won,
VCT 2026: Pacific Kickoff,Main Event,Upper Round 2,Rex Regum Qeon vs DetonatioN FocusMe,Rex Regum Qeon,DetonatioN FocusMe,2,0,Rex Regum Qeon won,
